pref,name,household income
1,北海道,"471,412"
2,青森県,"361,302"
3,岩手県,"388,331"
4,宮城県,"363,386"
5,秋田県,"376,457"
6,山形県,"453,697"
7,福島県,"412,725"
8,茨城県,"482,364"
9,栃木県,"446,936"
10,群馬県,"446,880"
11,埼玉県,"551,592"
12,千葉県,"507,357"
13,東京都,"552,665"
14,神奈川県,"505,207"
15,新潟県,"426,378"
16,富山県,"411,901"
17,石川県,"436,998"
18,福井県,"386,793"
19,山梨県,"419,070"
20,長野県,"398,983"
21,岐阜県,"460,931"
22,静岡県,"416,314"
23,愛知県,"460,266"
24,三重県,"479,121"
25,滋賀県,"490,242"
26,京都府,"404,983"
27,大阪府,"394,723"
28,兵庫県,"451,024"
29,奈良県,"498,332"
30,和歌山県,"441,302"
31,鳥取県,"392,343"
32,島根県,"440,081"
33,岡山県,"425,045"
34,広島県,"449,322"
35,山口県,"433,538"
36,徳島県,"454,139"
37,香川県,"437,630"
38,愛媛県,"387,459"
39,高知県,"402,932"
40,福岡県,"474,076"
41,佐賀県,"426,318"
42,長崎県,"382,095"
43,熊本県,"408,043"
44,大分県,"441,142"
45,宮崎県,"376,136"
46,鹿児島県,"377,529"
47,沖縄県,"286,258"
